original_description,amount
ACH Transaction - Acorns Invest Transfer NUMBER,4304
DBT CRD 16:55 08/09/20 NUMBER PAYPAL *GROUPON INC 402-935-7733 KYUS CARD# NUMBER,6440
GOOGLE*GOOGLE STORAGE INTERNET,625
Check Card: PLAYSTATION NETWORK Check Card: PLAYSTATION NETWORK 800-345-7669 CA 04/19/20,6280
AplPay DOORDASH*NANDSAN FRANCISCO       CA,8143
PlaystationNetwork 800-3457669 CA            05/09,20518
STATE FARM  INSURANCE,272062
Debit Card W/D GELSONS VIA INSTACART 8882467822 CA Date 06/16/20 NUMBER,28573
Withdrawal ACH PROG SELECT INS/TYPE: INS PREM ID: NUMBER DATA: BRANCH02DEBIT ACH CO: PROG SELECT INS DEBIT,44504
ANNUAL MEMBERSHIP FEE,141372
DEBIT CARD DEBIT NUMBER Microsoft*Xbox Redmond WA,8281
RECURRING PAYMENT AUTHORIZED ON 08/03 GOOGLE *Google Sto 855-836-3987 CA ,3138
PROGRESSIVE *INSURANCE 800-776-4737 OH,32380
PROGRESSIVE *INSURANCE 800-776-4737 OH,417204
STATE FARM INSURANCE 800-956-6310 IL,22990
DBT CRD 0501 09/14/20 NUMBER GOOGLE*GOOGLE STORAGE INTERNET      CA,625
COMCAST CALIFORNIA 800-COMCAST CA            02/10,15391
GROUPON INC GROUPON.COM IL                   01/29,13817
"Best Buy Co., Inc.",56278
MICROSOFT*XBOX LIVE GO MSBILL.INFO WA,3138
Payment to BURGER KING #2538,1665
ANNUAL MEMBERSHIP FEE,172788
INSTACART,68198
Subscription     Acorns     ***********HASH,314
STATE FARM INSURANCE 09/02 PURCHASE 800-956-6310 IL,37878
AT&T*BILL PAYMENT,87946
NST BEST BUY #2,43084
Amazon Music*203LM8TB1,1253
Kindle Svcs*M79B67KW0,3911
Subscription 855-739-2859 Acorns,314
AplPay DOORDASH*SOFRSAN FRANCISCO       CA,10119
COMENITY PAY OH  WEB PYMT   ***********NUMBER,10996
affirm.com Payme affirm.com ST-HASH CUSTOMER NAME,13635
ATT              Payment nora indovina,106443
GEICO DES:GEICO PYMT ID:NUMBER INDN:CUSTOMER NAME CO ID:XXXXXNUMBER WEB,23568
ANNUAL MEMBERSHIP FEE,29845
COMCAST JACKSONVILLE 800-266-2278 FL HASH,58679
PROGRESSIVE INS 800-776-4737 OH NUMBER,34463
Recurring POS MICROSOFT*XBOX REDMOND WA #8011,3396
Sony Playstation,6676
GEICO *AUTO 02/07 PURCHASE MACON DC,9425
BURGER KING #1498 Q07 MEADVILLE XXXX-XXXX-XXXX-NUMBER,892
COMENITY PAY OH  WEB PYMT   PNUMBER WEB ID: NUMBER,9739
ATT*BILL PAYMENT,15708
DOORDASH*TASTE OF ASSAN FRANCISCO       CA,8011
BURGER KING #22766,1360
Kindle Unltd*M43TR8XM0,3138
DOORDASH*SSAL       SAN FRANCISCO       CA,6418
AC-affirm.com Payme-affirm.com,30866
CHECK CARD PURCHASE DNH*GODADDY.COM            480-5058855  AZ  ,2677
GEICO AUTO          (800)841-3000       DC,39703
HLU*HULU NUMBER,15787
DEBIT ACH TRANS : affirm.com Payme;060 - MEMO=ACH TRANS : affirm.com Payme;060820;affirm.com,11740
BEST BUY         AUTO PYMT  NUMBER WEB ID: CITIAUTFDR,15080
ANNUAL MEMBERSHIP FEE,29845
DNH*GODADDY.COM,5708
Amazon Music*MK8QO3 888-802-3080 WA Debit Card Withdrawal: Debit Card,2692
PURCHASE / auth #655031 03-21-2020 KINDLE SVCS*AL6KH5583 866-321-8851 WA NUMBER,311
AplPay CAVIAR*STONEMSAN FRANCISCO       CA,9013
COMCAST CABLE COMM  800-COMCAST         WA,87965
ACH Electronic Debit - PLANET FIT CLUB FEES ,6695
Hulu,3767
DOORDASH DASHPASS 650-681-9470 CA,3138
Google*Google Storage,625
Kindle Unltd*MY6F49YN2,3138
HLU*Hulu NUMBER-U,3767
GEICO AUTO          (800)841-3000       DC,5912
PLAYSTATION NETWORK,6280
GEICO  *AUTO,28070
DNH*GODADDY.COM,42283
Groupon Inc,2447
ACH DEBIT XXXXXNUMBER CUSTOMER NAME PROG ADVANCED INS PREM,38664
Google *google Stormountain Vca,666
ACH WEB-SINGLE HASH ACORNS INVEST TRANSFER,6283
Payment to Groupon Inc,7650
ANNUAL MEMBERSHIP FEE,141372
Point Of Sale Withdrawal PLAYSTATION NETWORK800-345-7669 CAUS No Category,924
GROUPON INC GROUPON.COM IL HASH,1568
STATE FARM  INSURANCE,57589
AT&T MOBILE RECURRIN800-288-2020        TX,5005
INSTACART 11/07 PURCHASE HTTPSINSTACAR CA,46417
STATE FARM  INSURANCE,40841
WITHDRAWAL PLANET FIT TYPE: CLUB FEES DATA: 717-761-1202,6908
ACH & Preauth debits Acorns Invest Transfer 855-739-2859,1571
affirm.com Payme,8988
"Groupon, Inc. 07/05 PURCHASE 312-2886424 IL",1568
POS Withdrawal - COMCAST 800-934-6489 MIUS,77384
GODADDY.COM         480-505-8855        AZ,5708
Payment to Sony Interactive Entertainment Network America LLC,18846
PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77,3195
ELECTRONIC PAYMENT Acorns Invest Transfer 200408 ELECTRONIC PAYMENT,1838
ANNUAL MEMBERSHIP FEE,29845
"INSTACART 8882467822, CA, US",17967
ACH Electronic Debit - Acorns Invest Transfer HASH,1571
PREM COLL  GEICO PPD,58361
PURCHASE 07-06 DOORDASH*BURGER KING WWW.DOORDASH.  CA VNT NUMBER,7119
BEST BUY,20420
affirm.com Payme affirm.com ST-HASH 1 CUSTOMER NAME,30178
Microsoft*Xbox,1012
Pending Debit Card Transaction : COMCAST CABLE CO,23615
Electronic PurchasesOtherGROUPON INC GROUPON.COM ILUS Other,1568
ANNUAL MEMBERSHIP FEE,141372
BURGER KING #308 WEST BABYLON NY             04/24,8181
Withdrawal Debit INSTACART HTTPSINSTACAR CA Date 08/22/20 NUMBER Card 15 #NUMBER,13201
GEICO GEICO PYMT,12566
ACH Electronic Debit - PLANET FIT CLUB FEES ,6908
BURGER KING #3123 00ATHENS              GA,5212
KINDLE UNLTD*D79727O866-321-8851        WA,3437
GOOGLE *Google Storage 8558363987 CA,666
AMAZON MUSIC*MV18Q72888-802-3080        WA,1253
GEICO  *AUTO,115444
ACH Payment Acorns Invest Transfer 855-739-2859,2356
External Withdrawal PLANET FIT / 518-822-8200 - CLUB FEES 518-822-8200,6908
Subscription Acorns HASH ,314
PAYPAL *PLAYSTATION,3138
Burger King,2275
KINDLE SVCS*MS8ZE76I866-321-8851        WA,4078
ANNUAL MEMBERSHIP FEE,172788
GODADDY.COM         480-505-8855        AZ,5708
GOOGLE *GOOGLE STORAGE,625
GOOGLE *GOOGLE STORA855-836-3987        CA,625
COMCAST CALIFORNIA 800-COMCAST CA,28271
MICROSOFT*XBOX LIVE GOLD,3358
Kindle Svcs*TD6UE05I3,3358
Withdrawal PROG DIRECT INS TYPE: INS PREM CO: PROG DIRECT INS,25340
COMCAST 800-COMCAST NJ,12563
Withdrawal Visa Check Card / INSTACART HTTPSINSTACAR CA Date 04/28/20 %% Card 20 #NUMBER,37275
SUBSCRIPTION     ACORNS,314
ACH Withdrawal COMENITY PAY NS 800-395-5714 - WEB PYMT,79168
PLAYSTATION NETWORK 800-345-7669 CA PLAYST,3138
MICROSOFT*XBOX LIVE GOLD MSBILL.INFO WA,3286
"DEBIT CARD PURCHASE AT GOOGLE*GOOGLE STOR, INTERNET, CA ON 081120 FROM CARD#: XXXXXXXXXXXXNUMBER",625
ANNUAL MEMBERSHIP FEE,21677
BURGER KING #12322 OAKDALE LA                07/03,13195
PLAYSTATION NETWORK 800-345-7669 CA Withdrawal Debit Card Signature Debit Date 03/27/20 NUMBER Card 2839 Card Transaction,15705
Payment to Sony Interactive Entertainment Network America LLC,1693
Subscription     Acorns     HASH           WEB ID: NUMBER,942
COMENITY PAY IL  WEB PYMT   PNUMBER WEB ID: NUMBER,13898
WITHDRAW / PROG DIRECT INS INS PREM NUMBER ,58452
INSTACART*ALDI,26320
AMAZON MUSIC*M421D8Z888-802-3080        WA,2680
CLUB FEES PLANET FIT XXX-XXX-NUMBER,13063
ATT              Payment                    PPD ID: NUMBER,71622
PROGRESSIVE *INSURANCE,24819
GEICO  *AUTO,41051
Microsoft*Xbox,3138
DNH*GODADDY.COM,7700
MICROSOFT*MICROSOFT 365 P MSBILL.INFO WA,2350
EFT AUTO PYMT BEST BUY,10053
GEICO            GEICO PYMT UHASH TEL ID: NUMBER,45958
DEBIT FOR  COMENITY PAY OH  WEB PYMT    CO REF- PNAME,78540
GEICO  *AUTO 800-841-3000 DC                 04/26,26722
Subscription     Acorns     HASH            WEB ID: NUMBER,314
ANNUAL MEMBERSHIP FEE,141372
INSTACART 8882467822 CA                      09/21,39578
PLAYSTATIONNETW SAN MATEO CA USA,21988
Payment to Sony Interactive Entertainment Network America LLC,3327
DEBIT CARD PURCHASE  STATE FARM  INSURANCE  800-956-6310   IL,25174
POS NUMBER 1 Microsoft Way Redmond WA,3365
BURGER KING #1525 PORTLAND OR                04/05,1850
COMCAST CABLE COMM 800-COMCAST MN,18850
Withdrawal BEST BUY / TYPE: AUTO PYMT CO: BEST BUY,19164
STATE FARM RO 27,21460
ATT Payment NUMBER,48311
GOOGLE*GOOGLE STORAGE INTERNET CA,666
ABC*PLANET FITNESS  KENNESAW            GA,7245
DNH*GODADDY.COM 480-5058855 AZ,5708
COMENITY PAY OH WEB PYMT 012120 PNUMBER CUSTOMER NAME,15708
MICROSOFT*XBOX      REDMOND,30816
PP*GOOGLE GOOGLE STORAGE 402-935-7733 CA,625
In-process: GEICO               GEICO PYMT   ACH Entry Memo Posted Today,44482
GODADDY.COM         480-505-8855        AZ,39267
CLUB FEES PLANET FIT XXX-XXX-NUMBER,3368
DIRECTDEBIT COMENITY PAY JT     WEB PYMT   032420 PNUMBER WEB S,28274
PROG SELECT INS DES:INS PREM ID:XXXXXNUMBER CUSTOMER NAME INDN:CUSTOMER NAME CO ID:XXXXXNUMBER PPD,33112
PAYPAL *HULU CHK CARD PUR 402-935-7733 CA NUMBER POS,5966
ANNUAL MEMBERSHIP FEE,21677
"DIRECT WITHDRAWAL, PROG MAX INS CO INS PREM",133747
Payment to Hulu,2309
GOOGLE*GOOGLE STORAGE,625
KINDLE SVCS*MC9CX68R866-321-8851        WA,3044
DOORDASH*MCDONALDS  SAN FRANCISCO       CA,5664
ATT*BILL PAYMENT,12563
Withdrawal / Amazon Music*MJ2MC8 888-802-3080 WA Date DATE NUMBER NUMBER %% Card 15 #NUMBER,2510
Subscription Acorns Electronic Withdrawal,314
Best Buy #1530,540
DNH*GODADDY.COM 480-5058855 AZ               09/28,8847
Kindle Svcs*203OX69V3,1929
AT&T*BILL PAYMENT,85819
MICROSOFT*XBOX,12563
affirm.com Payme affirm.com ST-HASH WEB ID: NUMBER,26075
INSTACART           SAN FRANCISCO       CA,57406
BEST BUY         PAYMENT    NUMBER WEB ID: CITICTP,79614
ANNUAL MEMBERSHIP FEE,29845
INSTACART 01/10 PURCHASE HTTPSINSTACAR CA,45569
Subscription DES:Acorns ID:HASH INDN:EMAIL CO ID:XXXXXNUMBER WEB,314
PlaystationNetwor 04/20 PURCHASE San Mateo CA,2036
ACH Electronic Debit - Acorns Invest Transfer HASH,1571
GROUPON INC         877-788-7858        IL,9491
COMCAST                       POS     800-COMCAST   NJ US        XX9091,33892
Kindle Svcs*5H1HR9LP3,3402
Payment to DOORDASH DASHPASS        ,3138
 Card purchase BURGER KING #11055 Q07 LYNDEN WA 10-11-2020,5988
ANNUAL MEMBERSHIP FEE,20420
Kindle Unltd*WA7L08Q23,3138
 Card purchase PLAYSTATION NETWORK 800-345-7669 CA 07-20-2020,6280
AMAZON MUSIC*M42BN86R0 888-802-3080 WA HASH,1335
GOOGLE *Google Storage,3138
RECURRING PAYMENT AUTHORIZED ON 09/17 Microsoft*Xbox msbill.info WA SNUMBER CARD NUMBER,18846
PAYPAL DES:INST XFER ID:PLAYSTATION INDN:CUSTOMER NAME CO ID:PAYPALSI77 WEB,15353
PAYPAL *MICROSOFT XBO 402-935-7733 WA        02/11,1882
ACH Transaction - Subscription Acorns NUMBER,942
AT&T MOBILE RECURRIN800-288-2020        TX,66190
Withdrawal Debit Card Debit Signature/Amazon Music*MM5JC4611 888-802-3080 WA Date DATE 1 NUMBER 6 NUMBER Card J,4992
COMCAST DENVER,103563
GEICO,20892
ACH DEBIT  ATT PAYMENT,58955
PAYPAL *MICROSOFT OF8006427676          WA,2196
POS Withdrawal BURGER KING #83 5345 TRANSIT ROAD WILLIAMSVILLE NY 11582,2516
PLAYSTATION NETWORK,3170
MICROSOFT*XBOX      MSBILL.INFO,939
ACH Payment PROG COUNTY MUT INS PREM BRANCH03DEBIT  ACH,29770
PROG DIRECT INS INS PREM XXXXXNUMBER CUSTOMER NAME,33050
ACH Acorns Invest Transfer 855-739-2859,2573
POS Withdrawal (FIS) GROUPON INC GROUPON INC GROUPON.COM IL(3418),1568
BURGER KING #17323       TYLER        TX,1832
ANNUAL MEMBERSHIP FEE,26704
GEICO *AUTO 800-841-3000 DC NUMBER,43360
ACH Electronic Debit - COMENITY PAY UR WEB PYMT PNUMBER,10996
Microsoft*Xbox Redmond WA                    02/27,336
Withdrawal COMENITY PAY II / TYPE: WEB PYMT ID: NUMBER CO: COMENITY PAY II %% ACH ECC WEB,32987
Subscription 855-739-2859 Acorns,314
ANNUAL MEMBERSHIP FEE,29845
PURCHASE AUTHORIZED ON 10/06 BURGER KING #7996 ALPHARETTA GA ,1354
ANNUAL MEMBERSHIP FEE,15394
POS Withdrawal NNT MSBILL.INF -- MSBILL.INFO WAUS,1687
MICROSOFT*XBOX LIVE GO MSBILL.INFO WA,3138
PROGRESSIVE *INSURANCE 6300 Wilson Mills R,55396
"PROGRESSIVE *INSURANCE 800-776-4737, OH, US",185040
DOORDASH DASHPASS,3138
GEICO  *AUTO,69869
INSTACART SUBSCRIPTION HTTPSINSTACARCA,3138
PROGRESSIVE *INSURANCE 800-776-4737 OH,45239
Withdrawal AFFIRM.COM PAYME TYPE: affirm.com CO: AFFIRM.COM PAYME,12262
External Withdrawal PLANET FIT 260-490-4949 - CLUB FEES 260-490-4949,7254
External Withdrawal WEB - affirm.com Payme - affirm.com CUSTOMER NAME,26678
BESTBUYCOMNUMBER,140985
Debit Purchase -visa 03/20 card NUMBER Best Buy 00kansas City Mo,515
Kindle Svcs*M74OP4XD0,625
POS PURCH - Microsoft*Xbox NUMBER WA Redmond Microsoft*Xbox US,11237
DBT/WDR NUMBER GROUPON INC GROUPON.COM IL,10053
GROUPON INC GROUPON.COM IL HASH,11624
STATE FARM RO 27 - SFPP,28588
ANNUAL MEMBERSHIP FEE,29845
DOORDASH*WOK & TERIYSAN FRANCISCO       CA,13801
AplPay DOORDASH*CHILSAN FRANCISCO       CA,15256
Withdrawal Visa Debit Amazon Music*MF5ZH7D51 888-802-3080 WA Date 08/06/20 NUMBER NUMBER,2692
PLANET FIT,7939
DOORDASH*EL POLLO LOSAN FRANCISCO       CA,12915
BESTBUYCOMNUMBER   888-BESTBUY  MN,170457
ACH WEB-SINGLE HASH ACORNS INVEST TRANSFER,2121
COMENITY PAY OT  WEB PYMT   P20012743444502 WEB ID: 1133163498,15708
"POS BEST BUY ADDRESS US Withdrawal, Processed",68235
WITHDRAW / Acorns Invest Transfer 111720,9425
Payment to Microsoft Corporation,3138
INSTACART HTTPSINSTACAR CA,58767
Comenity Payment,57026
ATT*BILL PAYMENT 800-288-2020 TX,31416
PLANET FIT,3142
XXNUMBER POS PURCHASE 04/23 BURGER KING #572 SOUTH SAINT P MN NUMBER,1684
"PLAYSTATION NETWORK 800-345-7669, CA, US",3138
ANNUAL MEMBERSHIP FEE,141372
COMCAST CALIFORNIA 800-COMCAST CA,24011
BURGER KING #6013  Q07 MARION       IA Card# **NUMBER,2114
COMENITY PAY SB WEB PYMT 102120 PNUMBER CUSTOMER NAME,78549
PLANET FIT,6908
GROUPON INC         877-788-7858        IL,5234
ANNUAL MEMBERSHIP FEE,21677
PlaystationNetwork 800-3457669 CA            04/02,1882
ACH/PLANET FITCLUB FEES,12252
DEBIT FOR  SUBSCRIPTION     ACORNS      CO REF- HASH,942
COMENITY PAY VI  WEB PYMT   PNUMBER WEB ID: NUMBER,15708
COMCAST CHICAGO,17207
affirmcom Payme TYPE affirmcom - MEMO=affirmcom Payme TYPE affirmcom CO affirmcom Payme ACH Trace NUMBER ,44636
Microsoft*Xbox Redmond WA                    03/15,6789
AT&T*BILL PAYMENT,56275
Online Payment NUMBER To state farm 03/18,78540
INSTACART,13663
BEST BUY         PAYMENT CUSTOMER NAME,31416
POS DEBIT                COMCAST CABLE COMM       800-COMCAST   CO,33194
STATE FARM INSURANCE BLOOMINGTON,11074
COMENITY PAY IO WEB PYMT PNUMBER,12566
Payment to Hulu,7785
2469216G52XSWW8M3 Kindle Unltd*Y,3396
Amazon Music*MV5YY CHK CARD PUR 888-802-3080 WA NUMBER POS,4709
ACH Electronic Debit - Subscription Acorns HASH ,942
CLUB FEES PLANET FIT PPD,7565
ACH DEBIT NUMBER CUSTOMER NAME PROG SPECIALTY INS PREM,67698
GROUPON INC,17043
MICROSOFT*XBOX LIVE GO MSBILL.INFO WA MICR,7851
INSTACART           SAN FRANCISCO       CA,37310
WD by Debit: INSTACART 8882467822 CA Date 11/01/20 NUMBER,41921
AT&T,70708
COMP NAME - GEICO              PPD  DESC - PREM COLL,6597
Withdrawal Debit INSTACART HTTPSINSTACAR CA Date 09/12/20 NUMBER Card 15 #NUMBER,43109
BESTBUYCOMNUMBER 7601 PENN AVE 888-B,2699
Amazon Music*WA0AI0BW3 888-802-3080 WA Date DATE NUMBER NUMBER Card 30 #NUMBER,4709
PP*GOOGLE GOOGLE STORAGE,669
PP GOOGLE GOOGLE STORAGE,653
ATM POINT OF SALE Kindle Unltd*PI1NO1993 Kindle Unltd*PI1NO 866-321-8851 WA US,3138
Bill payment Withdrawal - GEICO AUTO,40413
ANNUAL MEMBERSHIP FEE,29845
PROG COUNTY MUT  INS PREM   ***********NUMBER,30489
COMCAST CABLE COMM  800-COMCAST         UT,48739
GOOGLE *Google Storage,663
Kindle Unltd*ZI1945JR3,3138
ATT              Payment CUSTOMER NAME,40049
GODADDY.COM         480-505-8855        AZ,17125
ANNUAL MEMBERSHIP FEE,29845
"BEST BUY, PAYMENT , NUMBER",31416
PURCHASE AUTHORIZED ON 09/12 Amazon Music*MU6BR 888-802-3080 WA NUMBER CARD NUMBER,2736
BEST BUY,36128
Burger King,908
TYPE: WEB PYMT ID: NUMBER DATA: 800-395-5714 CO: COMENITY PAY VI Entry Class Code: WEBACH Trace Number: NUMBER /Withdrawal Electronic COME,10996
External Withdrawal WEB - / affirm.com Payme - affirm.com CUSTOMER NAME,9434
POS Transaction / STATE FARM INSURAN 800-956-6310 ILUS,29364
Withdrawal ACH affirm.com Payme/TYPE: affirm.com CO: affirm.com Payme ACH Trace Number: NUMBER,22880
PLANET FIT       CLUB FEES                  PPD ID: NUMBER,6280
COMCAST CABLE COMM,33876
affirm.com Payme DES:affirm.com ID:ST-HASH INDN:CUSTOMER NAME CO ID:XXXXXNUMBER WEB PMT INFO:CUSTOMER NAME,24112
GOOGLE *Google Storage 855-836-3987 CA,625
VISA DDA PUR NUMBER     AMAZON MUSIC BM5M16WO3      888 802 3080  * WA,2510
AMAZON MUSIC*MJ0JL0P888-802-3080        WA,3575
Microsoft*Xbox,3138
Payment to Microsoft Corporation,4992
Point Of Sale Withdrawal  MICROSOFT*XBOX     MSBILL.INFO    WAUS,3138
DIRECT               DEBIT ATT           Payment,40278
INSTACART HTTPSINSTACAR CA                   10/30,97386
COMENITY PAY CP PHONE PYMT PNUMBER,10996
MICROSOFT*MICROSOFT MSBILL.INFO,3346
INSTACART           SAN FRANCISCO       CA,37699
ACH W/D: affirm.com Payme TYPE: affirm.com CO: affirm.com Payme Entry Class Code: WEB,44677
ANNUAL MEMBERSHIP FEE,21677
Groupon DEBIT,1568
GEICO *AUTO 800-841-3000 DC,80839
GOOGLE*GOOGLE STORAG G.CO HELPPAY#,625
PAYPAL INST XFER PLAYSTATION,3142
Point Of Sale Withdrawal STRING GEICO  xNUMBER CHEVY CHASE   MD,2457
BURGER KING #6249 06/02 PURCHASE GOODYEAR AZ,3007
VISA DDA PUR NUMBER     BESTBUYCOMNUMBER      888 BESTBUY   * MN,93239
POS Purchase 02/13 01:17 GROUPON INC GROUPON.COM IL NUMBER GROUPON INC NUMBER ,7226
GOOGLE *Google Storage,625
Kindle Svcs*H90KL5LP3,3138
PAYPAL *GROUPONGETA,62442
Withdrawal Debit INSTACART*ALDI HTTPSINSTACAR CA Date 10/16/20 NUMBER Card NUMBER,21627
NUMBER POS PURCHASE 04/13 PLAYSTATION NETW 800-345-7669 CA XXXXNUMBER XX2796,1882
AplPay INSTACART    SAN FRANCISCO       CA,70365
DNH*GODADDY.COM 480-5058855 AZ,25130
DBT CRD NUMBRE  08/10/20 HASH  INSTACART 8882467822 CA C#NUMBER,16066
PlaystationNetwork       800-3457669  CA,3138
ACH DEBIT HASH GEICO PREM COLL,68257
Subscription Acorns EMAIL,314
COMENITY PAY OH  WEB PYMT   PNUMBER WEB ID: NUMBER,41783
Debit: Signature purchase from NUMBER BESTBUYCOMNUMBER 888-BESTBUY US,176429
PLAYSTATIONNETWORK SAN MATEO CA,6217
Store Purchase COMCAST BOSTON Bills,31416
External Withdrawal STATE FARM RO 08  - CPC-CLIENT,55034
affirm.com Payme affirm.com ST-HASH WEB ID: NUMBER,25849
affirm.com Payme affirm.com ST-HASH WEB ID: NUMBER,21504
MICROSOFT*XBOX MSBILL.INFO WA - NUMBER,3396
DEBIT CARD DEBIT INSTACART HTTPS - MEMO=DEBIT CARD DEBIT INSTACART HTTPSINSTACARCA,42298
GEICO PREM COLL NUMBER,58236
Amazon Music*MM7VW7UW2,1354
XXNUMBER DDA POS Amazon Music*4V3 888-802-3080 WA XXXXNUMBER XXNUMBER,1253
Subscription Acorns 052920 HASH EMAIL,942
 Card purchase PLAYSTATION NETWORK 800-345-7669 CA 05-13-2020,1684
Kindle Unltd*UR5CL4OA3,3396
"PAYMENT PROGRESSIVE *INSURANCE 800-776-4 - MEMO=BillPayment, Withdrawal, Processed",108617
ATT Payment,39757
DOORDASH*EZELLS FAMOSAN FRANCISCO       CA,15202
Point of Sale Debit L340 DATE 01-08 Kindle Unltd*AL6E6866-321-8851,3138
- PLANET FIT CLUB FEES,6280
DBT CRD NUMBER 04/19/20 HASH          MICROSOFT*X MSBILL.INFO   WA,1678
DDA B/P NUMBER 09/10/20 NUMBER PROGRESSIVE INS 800-776-4737 OH Card# NUMBER,39952
UNITED FIN CAS   INS PREM                   PPD ID:  NUMBER,23402
KINDLE SVCS*N56ED7A9866-321-8851        WA,3453
PAYPAL *PLAYSTATION 402-935-7733 CA,6280
ACH DEBIT PLANET FIT,12252
Amazon Music*MM8KP6SW1   888-802-3080 WA,1253
ANNUAL MEMBERSHIP FEE,29845
GEICO  *AUTO,72084
POS Debit - Visa Check Card NUMBER - PLAYSTATION NETWOR 800-345-76,5652
ACH Transaction - Acorns Invest Transfer NUMBER,2614
"AT&T*BILL PAYMENT 8003310500, TX, US",50265
GODADDY.COM         480-505-8855        AZ,3767
External Withdrawal BEST BUY - / PAYMENT,9739
AplPay DOORDASH*YUMBSAN FRANCISCO       CA,12403
CHECK # Processed Check - COMENITY CARD TYPE: CHECK PYMT ID: NUMBER Entry Class Code: ARC ACH Trace Number: NUMBER,62832
DNH*GODADDY.COM,3833
HLU*Hulu NUMBER HULU.COM/BILL CA        07/01,3767
BEST BUY      NUMBER SCOTTSDALE AZ NUMBER  04/05,364
DNH*GODADDY.COM 480-5058855 AZ,9993
ACH DEBIT- COMENITY PAY OH 800-395-5714,18435
affirm.com Payme DES:affirm.com ID:ST-HASH INDN:CUSTOMER NAME  CO ID:XXXXX NUMBER WEB PMT INFO CUSTOMER NAME ,7072
ANNUAL MEMBERSHIP FEE,27960
BURGER KING         ROSLINDALE          MA,5202
Google Seriously,1015
COMCAST CABLE COMM  800-COMCAST         NH,67723
ANNUAL MEMBERSHIP FEE,141372
MICROSOFT*XBOX LIVE GO MSBILL.INFO WA,3138
ATT,25133
GEICO *AUTO 800-841-3000 DC,57796
AMAZON MUSIC*MK2RB6TI2 888-802-3080 WA HASH,1253
BURGER KING #15731 WARNER ROBINS GADate 10/31/20 Card NUMBER /Withdrawal Debit Card,669
GOOGLE*GOOGLE STORAG G.CO HELPPAY#,625
POS Withdrawal (FIS) INSTACART INSTACART 8882467822 CA(0576),15708
Debit: Signature purchase from NUMBER PAYPAL *MICROSOFT XBOX 402-935-7733 US,1338
DNH*GODADDY.COM 480-5058855 AZ,8847
GODADDY.COM         480-505-8855        AZ,8847
DOORDASH*PLAN B BURGSAN FRANCISCO       CA,11341
BEST BUY Direct Payment,21341
PAYPAL *HULU,3767
Microsoft*Xbox Live Go msbill.info WA        02/16,3346
Electronic Withdrawal Prog Direct Ins,19849
Sie*Playstationnetwork,3311
PAYPAL           INST XFER  HULU            WEB ID: PAYPALSI77,3767
BURGER KING #22533,2309
XXNUMBER CHK PURCH SIG 03/16 PLAYSTATION NETW 800-345-7669 CA XXXXNUMBER XXNUMBER,2017
HLU*HULU NUMBER HULU.COM/BILL       CA,4031
#88 AT&T*BILL PAYMENT 800-331-0500 TX,81474
Kindle Unltd*5Q4Q03AB3 DBT CRD 1411 03/24/20 NUMBER 866-321-8851  WA C#6106,3311
AMAZON MUSIC*MF2985L888-802-3080        WA,2510
MICROSOFT*XBOX      MSBILL.INFO,6726
Preauthorized Debit Acorns Invest    Transfer,2133
PROG DIRECT INS INS PREM XXXXXNUMBER CUSTOMER NAME,36640
XX8986 VISA PURCHASE Kindle Unltd*MF7 866-321-8851 WA NUMBER,3396
PROGRESSIVE INS        800-776-4737 OHUS,84107
"Payment to GoDaddy.com, LLC",13405
POS Withdrawal (FIS) GROUPON INC GROUPON INC GROUPON.COM IL(NUMBER),1568
DNH*GODADDY.COM 480-505-8855 AZ DNH*GODADDY.COM,1882
Card purchase Microsoft*Xbox 4816 Redmond WA,6280
ACH WEB-SINGLE HASH SUBSCRIPTION ACORNS,314
COMENITY PAY JT/WEB PYMT/022220/WE B General Debit,16305
AMAZON MUSIC*M477L2U888-802-3080        WA,1253
COMCAST CALIFORNIA  800-COMCAST         CA,26688
PROGRESSIVE *INSURANCE,31416
NUMBER POS DDA W/D 01/04 21:43 PLAYSTATION NETWORK PLAYSTATION NETWOR 800-345-76,4706
GOOGLE*GOOGLE STORAGE,625
Amazon Music*MV0T87QS 888-802-3080 WA        DATE,2510
AplPay DOORDASH*STEASAN FRANCISCO       CA,27153
affirm.com Payme affirm.com ST-HASH,402576
STATE FARM RO 27/SFPP 08 S  NUMBER,59502
RECURRING PAYMENT AUTHORIZED ON 06/23 GOOGLE*GOOGLE STOR INTERNET CA SNUMBER CARD 5554,939
GEICO TYPE: PREM COLL  CO: GEICO,23970
DNH*GODADDY.COM,8847
GROUPON INC GROUPON.COM IL NUMBER,1568
PROGRESSIVE *INSURANCE,342434
GODADDY.COM         480-505-8855        AZ,56549
ANNUAL MEMBERSHIP FEE,141372
DNH*GODADDY.COM 480-5058855 AZ               02/04,11417
KINDLE UNLTD*MS9RW05866-321-8851        WA,3138
GROUPON INC 05/18 PURCHASE GROUPON.COM IL,37699
ACH DEBIT HASH E GEICO PREM COLL,56502
GOOGLE *Google Storage,625
XXNUMBER CHK PURCH PIN BEST BUY 00 SAINT JOSEPH MO XXXXNUMBER XXXXXXXXNUMBER,34143
PLAYSTATION NET 800-345-7669 /CA US CARD PURCHASE,11869
ATT*BILL PAYMENT,21730
